"ID_Guarida";"tipo";"presencias_totales";"tasa_ocupacion";"delta_t_media";"elevacion_dem";"pendiente_dem";"rugosidad_dem";"tpi_dem";"radiacion_dem";"aspecto_dem";"exposicion_dem";"UTM_Este";"UTM_Norte"
"G1+1";"arte_norte";21;61,8;-19,1;2716;6,16;4;-0,125;0,96;172,4;"Sur";-69,05272;-22,23163
"G1+2";"arte_norte";24;70,6;-16,15;2720;7,65;5;-0,5;0,967;173,9;"Sur";-69,05273;-22,23127
"G2-1";"arte_sur";18;52,9;-16,79;2683;9,66;8;-0,5;0,972;199,7;"Sur";-69,05843;-22,23377
"G2-2";"arte_sur";15;44,1;-20,25;2682;9,99;9;-0,125;0,961;220,6;"Sur";-69,0584;-22,23405
"G2-3";"arte_sur";21;61,8;-17,8;2682;9,99;9;-0,125;0,961;220,6;"Sur";-69,05829;-22,23394
"G2-4";"arte_sur";16;47,1;-15,66;2688;6,8;6;-0,125;0,957;212,8;"Sur";-69,05791;-22,23387
"G3+1";"arte_norte";23;67,6;-17,4;2693;8,27;7;0,625;0,966;203,2;"Sur";-69,05939;-22,23291
"G3+2";"arte_norte";24;70,6;-18,89;2695;8,78;8;0;0,967;204,7;"Sur";-69,05934;-22,2327
"G3+3";"arte_norte";19;55,9;-18,7;2698;8,5;7;0,625;0,963;211,8;"Sur";-69,05934;-22,23242
"G4+1";"arte_norte";29;85,3;-16,38;2647;9,66;8;-0,25;0,853;340,3;"Norte";-69,06641;-22,23473
"G4+2";"arte_norte";23;67,6;-17,02;2644;6,57;6;-0,875;0,879;338,1;"Norte";-69,06654;-22,23456
"G4+3";"arte_norte";24;70,6;-18,5;2642;4,22;4;0,25;0,895;354,4;"Norte";-69,06674;-22,23438
"G4+4";"arte_norte";22;64,7;-20,43;2646;5,34;4;0,875;0,886;0;"Norte";-69,066;-22,23436
"G5-1";"arte_sur";24;70,6;-18,81;2667;10,23;7;-0,25;0,844;2,3;"Norte";-69,06667;-22,23571
"G5-2";"arte_sur";24;70,6;-17,7;2674;12,49;10;-0,75;0,822;354,4;"Norte";-69,06663;-22,23598
"G6-1";"arte_sur";27;79,4;-20,35;2668;10,6;9;-0,25;0,84;0;"Norte";-69,06783;-22,23622
"G6-2";"arte_sur";23;67,6;-17,98;2671;11,45;9;-1;0,833;8,1;"Norte";-69,06775;-22,23644
"G6-3";"arte_sur";28;82,4;-19,55;2679;12,13;10;-0,5;0,833;25,7;"Norte";-69,06776;-22,2367
"G7+1";"arte_norte";23;67,6;-16,15;2650;8,1;7;-0,25;0,869;333,1;"Norte";-69,06879;-22,23534
"G7+2";"arte_norte";28;82,4;-18,68;2648;7,87;7;-0,25;0,884;308,9;"Oeste";-69,06891;-22,23522
"G7+3";"arte_norte";32;94,1;-18,96;2643;7,08;6;-0,125;0,876;336,2;"Norte";-69,06913;-22,23506
"G7+4";"arte_norte";31;91,2;-21,06;2641;7,77;6;0,25;0,869;338,4;"Norte";-69,06914;-22,23478
