ID_Guarida;UTM_Este;UTM_Norte;AGO_S1_Pres;AGO_S2_Pres;AGO_S3_Pres;AGO_S4_Pres;AGO_T_Int;AGO_T_Ext;AGO_DeltaT;SEP_S1_Pres;SEP_S2_Pres;SEP_S3_Pres;SEP_S4_Pres;SEP_T_Int;SEP_T_Ext;SEP_DeltaT;OCT_S1_Pres;OCT_S2_Pres;OCT_S3_Pres;OCT_S4_Pres;OCT_S5_Pres;OCT_T_Int;OCT_T_Ext;OCT_DeltaT;NOV_S1_Pres;NOV_S2_Pres;NOV_S3_Pres;NOV_S4_Pres;NOV_T_Int;NOV_T_Ext;NOV_DeltaT;DIC_S1_Pres;DIC_S2_Pres;DIC_S3_Pres;DIC_S4_Pres;DIC_T_Int;DIC_T_Ext;DIC_DeltaT;ENE_S1_Pres;ENE_2_Pres;ENE_S3_Pres;ENE_S4_Pres;ENE_S5_Pres;ENE_T_Int;ENE_T_Ext;ENE_DeltaT;FEB_S1_Pres;FEB_S2_Pres;FEB_S3_Pres;FEB_S4_Pres;FEB_T_Int;FEB_T_Ext;FEB_DeltaT;MAR_S1_Pres;MAR_S2_Pres;MAR_S3_Pres;MAR_S4_Pres;MAR_T_Int;MAR_T_Ext;MAR_DeltaT
G1+1;-69,05272;-22,23163;0;1;1;0;14,4;31,8;-17,4;1;0;0;0;14,5;36,4;-21,9;1;1;1;1;1;18,8;36,8;-18;0;0;1;1;19,2;38,4;-19,2;1;0;0;1;22,3;43,3;-21,1;1;0;1;1;1;18,8;35;-16,1;0;0;1;1;18,2;37,8;-19,6;1;1;1;0;14,7;34,2;-19,5
G1+2;-69,05273;-22,23127;0;1;1;0;14;26,6;-12,6;1;0;1;1;14,8;27,5;-12,7;0;0;1;1;1;20,3;39,3;-19;0;0;1;1;18,9;36,1;-17,2;1;0;1;1;20,1;41,6;-21,4;1;1;1;1;1;17,3;33,1;-15,8;0;0;1;1;16,2;28,2;-12;1;1;1;1;14,9;33,5;-18,5
G2-1;-69,05843;-22,23377;0;0;0;0;15,5;28,6;-13,1;0;0;0;0;10,4;28;-17,6;1;1;1;0;1;19;43,2;-24,3;0;1;1;1;17,6;30;-12,4;1;1;1;1;21,3;37,8;-16,4;1;0;0;0;1;20,2;39,7;-19,5;0;0;0;1;18,6;33,2;-14,6;1;1;1;1;18,2;34,6;-16,4
G2-2;-69,0584;-22,23405;0;0;0;0;18,7;32,1;-13,4;0;0;0;0;14,6;35,9;-21,3;0;0;1;1;1;19,3;38,8;-19,5;0;1;1;1;18,1;42,1;-24;1;1;1;1;23;45,7;-22,7;0;0;1;0;0;22,8;47,8;-24,9;0;0;0;1;22,3;39,7;-17,4;1;1;1;0;21,3;40,1;-18,8
G2-3;-69,05829;-22,23394;0;0;0;0;NA;NA;NA;0;0;0;0;11,1;30,5;-19,4;1;1;1;1;1;18,7;40,1;-21,4;0;1;1;1;19;37,6;-18,6;1;1;0;1;21,3;39,4;-18,2;1;0;1;1;1;19,3;32,7;-13,4;0;1;0;1;17,5;33,9;-16,4;1;1;1;1;17,7;34,8;-17,2
G2-4;-69,05791;-22,23387;0;0;0;0;NA;NA;NA;0;0;0;0;9,8;23,5;-13,7;0;0;1;0;1;17,2;37,2;-20;1;1;1;1;16,3;32,2;-15,9;1;1;1;1;21;37,3;-16,4;1;0;1;1;1;20,4;33,5;-13;0;0;0;0;18,4;32,8;-14,4;0;1;0;1;18,2;34,3;-16,2
G3+1;-69,05939;-22,23291;0;0;0;0;NA;NA;NA;1;0;1;1;13,9;34,6;-20,7;0;1;1;0;1;18,9;38,2;-19,3;1;1;1;1;20,3;37,6;-17,3;1;0;1;0;20,8;38,4;-17,7;1;1;1;0;0;21;35,3;-14,2;1;1;1;1;19,8;37,4;-17,6;1;1;1;1;19,9;34,9;-15
G3+2;-69,05934;-22,2327;0;0;1;1;11,3;22,2;-10,9;1;0;1;1;14,3;30,9;-16,6;1;1;1;0;1;16,9;39,6;-22,7;1;1;1;1;20;40,7;-20,8;1;1;0;1;21,7;40,8;-19,3;1;0;1;0;1;21,9;41,9;-20;0;1;0;1;20,4;39,6;-19,2;1;1;1;0;17,7;39,3;-21,6
G3+3;-69,05934;-22,23242;0;0;1;1;12,3;23,4;-11,1;1;1;1;1;11,8;29,5;-17,7;0;1;1;0;1;16;38,6;-22,6;0;0;1;1;17,9;38,7;-20,8;1;1;0;1;18,5;37,9;-19,2;1;0;1;0;1;20,2;37,9;-17,7;0;0;0;1;19,2;41,2;-22;1;0;0;0;17,8;36,2;-18,5
G4+1;-69,06641;-22,23473;1;0;0;0;15,1;23,9;-8,8;0;1;1;1;15;34,9;-19,9;0;1;1;1;1;15,3;32,1;-16,8;1;1;1;1;19,2;36,7;-17,5;1;1;1;1;20,4;35,5;-15,1;1;1;1;1;1;21,2;41,3;-20;1;1;1;1;20;38,2;-18,3;1;1;1;1;18,7;33,3;-14,6
