muscle10.5##BLOCKS= 1          
Group:	Samples	1
Sample	Wells	Pathlength	OD260	OD230	OD280	Conc	AvgConc	260/280	Avg Ratio	260/230	Avg Ratio
Sa01	A1	0.56	0.209	0.354	0.186	10.5	17.3	1.13	1.58	0.593	1.154
	B1	0.56	0.130	0.141	0.074	6.5		1.76		0.924	
	C1	0.54	0.349	0.256	0.206	17.5		1.70		1.367	
	D1	0.49	0.728	0.540	0.435	36.4		1.68		1.350	
	E1	0.54	0.188	0.198	0.152	9.4		1.24		0.950	
	G1	0.53	0.179	0.212	0.128	8.9		1.39		0.841	
	H1	0.56	0.636	0.310	0.289	31.8		2.20		2.054	
Sa02	A2	0.53	0.527	0.567	0.418	26.4	12.8	1.26	1.32	0.930	1.099
	B2	0.49	0.721	0.750	0.514	36.0		1.40		0.961	
	C2	0.51	0.316	0.423	0.249	15.8		1.27		0.748	
	D2	0.55	0.033	0.028	0.027	1.7		1.23		1.182	
	E2	0.55	0.096	0.095	0.081	4.8		1.18		1.013	
	F2	0.57	0.134	0.062	0.074	6.7		1.80		2.161	
	G2	0.54	0.052	0.048	0.042	2.6		1.24		1.084	
	H2	0.56	0.162	0.228	0.140	8.1		1.16		0.711	
Sa03	A3	0.53	0.867	0.972	0.671	43.3	210.7	1.29	2.50	0.892	1.359
	B3	0.55	0.093	0.158	0.064	4.7		1.46		0.591	
	C3	0.55	0.240	0.317	0.193	12.0		1.24		0.757	
	D3	0.55	6.973	5.292	2.080	348.7		3.35		1.318	
	E3	0.55	6.487	3.035	1.844	324.4		3.52		2.138	
	F3	0.57	6.965	6.575	2.203	348.3		3.16		1.059	
	G3	0.26	6.266	3.131	2.623	313.3		2.39		2.001	
	H3	0.56	5.816	2.752	1.637	290.8		3.55		2.113	
Sa04	A4	0.51	7.601	6.859	2.098	380.1	274.7	3.62	3.12	1.108	1.690
	B4	0.55	6.848	4.105	1.844	342.4		3.71		1.668	
	C4	0.53	3.260	1.582	1.291	163.0		2.53		2.061	
	D4	0.54	7.248	6.858	2.411	362.4		3.01		1.057	
	E4	0.54	5.230	2.287	1.609	261.5		3.25		2.287	
	F4	0.54	5.094	2.206	1.585	254.7		3.21		2.309	
	G4	0.54	7.248	6.858	2.155	362.4		3.36		1.057	
	H4	0.57	1.429	0.724	0.628	71.4		2.28		1.974	
Sa05	A5	0.56	6.636	3.806	1.716	331.8	327.9	3.87	3.52	1.744	1.698
	B5	0.54	7.026	4.761	1.906	351.3		3.69		1.476	
	C5	0.55	6.630	3.468	1.831	331.5		3.62		1.911	
	D5	0.55	6.666	3.497	1.831	333.3		3.64		1.906	
	E5	0.55	7.161	6.771	2.331	358.0		3.07		1.058	
	F5	0.55	7.101	4.995	2.146	355.0		3.31		1.422	
	G5	0.56	6.666	3.653	1.798	333.3		3.71		1.825	
